رقم الصفقة,التصنيف,النوع,سعر الصفقة (ريال),المساحة (متر مربع),سعر المتر المربع (ريال),تاريخ الصفقة,المنطقة,المدينة,الحي,المخطط,القطعة,الملاحظات
28479206,أخرى,أخرى,0,900٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,766,فرز/دمج
28479204,أخرى,أخرى,1110000,750٫00,1480,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,1340,
28479201,أخرى,أخرى,440000,550٫00,800,20/03/2025,الشرقية,العيون,الرابية,14 / 92,335,
28479184,سكني,قطعة أرض,170442,625٫50,0,20/03/2025,تبوك,تبوك,التعاون,ت/ ت/ 96,497,فك رهن
28479167,أخرى,أخرى,5175750,1725٫25,3000,20/03/2025,الرياض,الرياض,الرمال,3978,15,
28479163,أخرى,أخرى,500000,892٫15,560,20/03/2025,مكة المكرمة,جده,خارج حدود الاحياء,668 / ج / س,377,
28479154,أخرى,أخرى,0,300٫00,0,20/03/2025,الباحة,بلجرشي,شرى,71 / 1415 / ج / و,429,هبة/ مشترك أو مشاع
28479143,أخرى,أخرى,30000,434٫28,69,20/03/2025,جيزان,صامطه,الزاويه,بدون,بدون,
28479136,أخرى,شقة,399000,107٫21,3721,20/03/2025,مكة المكرمة,جده,السلامة,3 / 238 / ع,1 / 3,
28479131,أخرى,أخرى,1235250,750٫00,1647,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,1339,رهن
28479109,أخرى,أخرى,152695,636٫23,240,20/03/2025,جيزان,ابو عريش,الورود,172,2,
28479105,سكني,قطعة أرض,890000,900٫00,0,20/03/2025,مكة المكرمة,جده,القرينية,101/ ب/ 1400,209/2/ج,فك رهن
28479099,تجاري,قطعة أرض,7815380,1547٫60,5050,20/03/2025,الرياض,الرياض,الرمال,3242,112,
28479088,أخرى,شقة,600000,82٫75,7250,20/03/2025,الرياض,الرياض,الرمال,3242,1 / ح1,
28479078,أخرى,أخرى,2434200,608٫54,4000,20/03/2025,الرياض,الرياض,الرمال,3792,270,
28479073,أخرى,أخرى,800000,800٫00,1000,20/03/2025,المدينة المنورة,المدينة المنورة,شوران / د,634 / ت / 1413 / د,2643,
28479066,أخرى,وحدة عقارية,0,167٫53,0,20/03/2025,نجران,نجران,مخطط حى الفهد,4 / ن / 1396,1 / أ,هبة
28479062,سكني,قطعة أرض,700000,300٫00,2333,20/03/2025,الرياض,الرياض,الجنادرية,3963,653,
28479061,أخرى,شقة,365000,102٫58,3558,20/03/2025,مكة المكرمة,جده,المروة,624 / ج / س,4 / 2,
28479047,سكني,قطعة أرض,640000,790٫30,809,20/03/2025,المدينة المنورة,المدينة المنورة,حرة جبل عير /ب,844/ ت/ 1419,12,
28479045,أخرى,أخرى,699000,900٫00,0,20/03/2025,مكة المكرمة,جده,البحيرات,100 / ج / س المعدل,1070,فك رهن
28479040,أخرى,أخرى,1110000,750٫00,1480,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,1339,
28479030,أخرى,أخرى,0,525٫00,0,20/03/2025,الرياض,المجمعه,الاسكان,1558 / س / المعدل,1278,صفقة بتمويل
28479029,سكني,شقة,200000,105٫76,1891,20/03/2025,القصيم,بريده,الريان,446/ 2/ ق,6,
28479028,أخرى,شقة,750800,150٫17,4999,20/03/2025,الشرقية,الخبر,البحر,ش خ 741,13 / 1,
28479024,أخرى,أخرى,30000,109٫43,274,20/03/2025,الرياض,الافلاج,الجفيدرية,بدون,بدون,
28479023,أخرى,أخرى,0,704٫00,0,20/03/2025,الشرقية,الخبر,قرطبة,ش خ 529,137,هبة
28479005,سكني,شقة,680000,161٫14,4219,20/03/2025,مكة المكرمة,مكة المكرمة,بطحاء قريش,1 / 7 / 78 / ب,1 / أ,
28479004,أخرى,أخرى,0,18000٫00,0,20/03/2025,عسير,خميس مشيط,بدون,بدون,بدون,هبة
28479002,تجاري,قطعة أرض,150000,879٫96,170,20/03/2025,الشرقية,حفر الباطن,الشفاء,73/ ح,894,
28479000,أخرى,أخرى,1482300,900٫00,1647,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,1350,رهن
28478994,أخرى,شقة,980000,121٫53,8063,20/03/2025,الرياض,الرياض,المونسية,2230,1 / ح1,
28478984,أخرى,أخرى,402428,410٫64,980,20/03/2025,الشرقية,الاحساء,الدانة,4 / 1048,451 / ب,
28478983,أخرى,أخرى,0,704٫00,0,20/03/2025,الشرقية,الخبر,قرطبة,ش خ 529,136,هبة
28478979,أخرى,شقة,775000,146٫38,5294,20/03/2025,الرياض,الرياض,الرمال,3393,1 / ح1,
28478977,سكني,شقة,650000,183٫14,3549,20/03/2025,تبوك,تبوك,الصفا,570/ 38/ ت,2/1,صفقة بتمويل
28478975,أخرى,أخرى,100000,600٫00,166,20/03/2025,الجوف,سكاكا,الصالحية,13 / 1 / 2 / 1443,25,
28478974,أخرى,أخرى,0,498٫50,0,20/03/2025,حايل,حائل,الملك عبدالله,482,540,هبة
28478972,سكني,بيت,0,66٫20,0,20/03/2025,الرياض,الرياض,الفوطة,بدون,بدون,هبة
28478961,أخرى,شقة,689000,135٫03,5102,20/03/2025,الرياض,الرياض,الرمال,3240 / أ,6 / أ,
28478959,أخرى,أخرى,220000,900٫00,244,20/03/2025,الباحة,العقيق,الحمضة,190,118,
28478944,أخرى,شقة,1300000,322٫72,4028,20/03/2025,مكة المكرمة,جده,الورود,444/ ج/ س/ المعدل,3/أ,
28478936,أخرى,أخرى,0,450٫00,0,20/03/2025,الشرقية,حفر الباطن,بدون,ش ر / 9 / 78 / س,ح309,هبة
28478922,أخرى,أخرى,100000,608٫71,164,20/03/2025,الجوف,سكاكا,الصالحية,13 / 1 / 2 / 1443,27,
28478915,أخرى,شقة,530000,121٫86,4349,20/03/2025,الشرقية,الخبر,حى الحمراء,ش خ 854,3 / 1,
28478913,أخرى,أخرى,425000,312٫50,1360,20/03/2025,الرياض,الرياض,ديراب,577,205 / 4 / 2,
28478910,أخرى,شقة,589000,117٫76,5001,20/03/2025,الرياض,الرياض,الرمال,3240 / أ,1 / أ,
28478908,سكني,شقة,0,106٫70,0,20/03/2025,مكة المكرمة,جده,حكومى,586 / ج / س,5 / 3,هبة
28478895,أخرى,أخرى,2000000,262٫50,7619,20/03/2025,الرياض,الرياض,المصيف,1578,42 / 2,
28478894,أخرى,شقة,365000,102٫59,3557,20/03/2025,مكة المكرمة,جده,المروة,624 / ج / س,3 / 2,
28478892,أخرى,أخرى,0,450٫00,0,20/03/2025,الشرقية,حفر الباطن,بدون,ش ر / 9 / 78 / س,ز8,هبة
28478887,أخرى,شقة,300000,181٫46,1653,20/03/2025,مكة المكرمة,مكة المكرمة,بطحاء قريش,1 / 7 / 79,1 / 1,
28478883,أخرى,أخرى,0,783٫84,0,20/03/2025,مكة المكرمة,الطائف,السر,بدون,2,هبة
28478881,أخرى,أخرى,0,704٫00,0,20/03/2025,الشرقية,الخبر,قرطبة,ش خ 529,135,هبة
28478878,سكني,قطعة أرض,2790000,900٫00,3100,20/03/2025,مكة المكرمة,جده,الشراع,3/ 110/ ت,79/ج,
28478876,أخرى,شقة,308330,132٫20,2332,20/03/2025,مكة المكرمة,جده,الريان,260 / ب,3 / أ,
28478871,أخرى,شقة,529000,110٫90,4770,20/03/2025,الرياض,الرياض,الرمال,3240 / أ,3 / 1,
28478869,أخرى,شقة,605000,150٫13,4029,20/03/2025,الشرقية,الدمام,السيف,ش د 1450,4 / 1,
28478866,سكني,شقة,710000,112٫75,6297,20/03/2025,الشرقية,الخبر,الحزام الذهبي,81 / 2,4 / 3,
28478857,زراعي,أرض زراعية,400000,7909٫10,50,20/03/2025,مكة المكرمة,القنفذه,امهات حنيش,بدون,بدون,
28478845,سكني,شقة,500000,158٫24,3159,20/03/2025,مكة المكرمة,جده,الأمير عبد المجيد,258 / ج / س / المعدل,1 / 1,
28478829,سكني,شقة,755000,139٫03,5430,20/03/2025,الرياض,الرياض,لبن,2351,3/2,
28478825,أخرى,فيلا,758996,216٫43,0,20/03/2025,مكة المكرمة,بحره,بحرة الجديدة,1 / 28 / 5,3044,رهن
28478808,سكني,قطعة أرض,4894974,3496٫41,1400,20/03/2025,الرياض,الرياض,بدر,3314/ 4,7,
28478806,أخرى,شقة,540000,139٫23,3878,20/03/2025,الرياض,الرياض,عكاظ,3235,1 / 1,
28478797,أخرى,شقة,500000,209٫69,2384,20/03/2025,مكة المكرمة,جده,الصفا,791 / س.ت,4,
28478791,أخرى,أخرى,0,960٫00,0,20/03/2025,الجوف,القريات,الخزامى,11 / 8 / 2 / 1421,812( أ ),هبة
28478790,أخرى,شقة,340000,122٫87,2767,20/03/2025,مكة المكرمة,جده,الريان,260 / ب,3 / 2,
28478789,أخرى,شقة,1947500,144٫75,13454,20/03/2025,الرياض,الرياض,الصحافة,1863 / أب,3 / 13,
28478786,سكني,شقة,800000,122٫60,6525,20/03/2025,الرياض,الرياض,الصحافة,1637,7/157,
28478770,أخرى,أخرى,0,704٫00,0,20/03/2025,الشرقية,الخبر,قرطبة,ش خ 529,134,هبة
28478763,سكني,شقة,445000,96٫12,4629,20/03/2025,الشرقية,الدمام,السيف,ش د 1450,1 / 4,
28478758,أخرى,أخرى,500000,765٫00,653,20/03/2025,الرياض,المجمعه,المستقبل,1740,811,
28478742,أخرى,شقة,0,144٫50,0,20/03/2025,القصيم,بريده,الضاحي الغربي,352 / ق / أ,5 / أ,هبة
28478741,أخرى,أخرى,2295300,546٫50,4200,20/03/2025,الرياض,الرياض,الرمال,3792,227,
28478725,أخرى,فيلا,1300000,410٫05,3170,20/03/2025,عسير,خميس مشيط,الحضارى,248 / 1407 / ج / 2,6457,
28478722,أخرى,أخرى,0,148244٫31,0,20/03/2025,عسير,احد رفيده,ملحه بال الجحل,بدون,بدون,هبة
28478703,أخرى,أخرى,690000,300٫00,2300,20/03/2025,الرياض,الرياض,الجنادرية,3768,2071  /  4  /  4,
28478701,أخرى,أخرى,405000,450٫00,900,20/03/2025,مكة المكرمة,الطائف,ضاحية الإسكان,23192102 / س / المعدل,5513,
28478699,أخرى,شقة,600000,223٫22,2687,20/03/2025,مكة المكرمة,جده,الرغامة,456 / ج / س,2 / 3,
28478694,زراعي,أرض زراعية,4132360,10330٫90,400,20/03/2025,الرياض,حريملاء,دقله,266,81,
28478691,أخرى,فيلا,1351663,216٫43,0,20/03/2025,مكة المكرمة,بحره,بحرة الجديدة,1 / 28 / 5,3044,فك رهن
28478690,أخرى,أخرى,0,450٫00,0,20/03/2025,الشرقية,حفر الباطن,بدون,ش ر / 9 / 78 / س,ط11,هبة
28478686,أخرى,أخرى,0,114٫75,0,20/03/2025,القصيم,بريده,الرحاب,313/ 2/ ق,545/ب,هبة
28478685,أخرى,أخرى,0,114٫75,0,20/03/2025,القصيم,بريده,الرحاب,313/ 2/ ق,545/ب,هبة
28478684,أخرى,أخرى,0,114٫75,0,20/03/2025,القصيم,بريده,الرحاب,313/ 2/ ق,545/ب,هبة
28478683,أخرى,أخرى,20000,900٫00,22,20/03/2025,حايل,الروضة,الروضة,477,202,
28478681,أخرى,أخرى,0,114٫75,0,20/03/2025,القصيم,بريده,الرحاب,313/ 2/ ق,545/ب,هبة
28478680,أخرى,أخرى,0,50000٫00,0,20/03/2025,الرياض,المجمعه,7.5كم شمال المجمعة 2.5كم شمال غرب حرمه الشرقية,658,1,هبة
28478675,أخرى,فيلا,854000,161٫53,5286,20/03/2025,الرياض,الرياض,الرمال,3240 / أ,2 / أ,
28478649,سكني,قطعة أرض,4878664,3484٫76,1400,20/03/2025,الرياض,الرياض,بدر,3314/ 4,8,
28478629,زراعي,أرض زراعية,3822433,10330٫90,370,20/03/2025,الرياض,حريملاء,دقله,266,82,
28478626,أخرى,أخرى,1332000,900٫00,1480,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,1350,
28478569,أخرى,أخرى,0,250٫00,0,20/03/2025,الرياض,الرياض,سدرة,3967 / 14,329,هبة
28478567,أخرى,شقة,841000,230٫48,3648,20/03/2025,تبوك,تبوك,الحمراء,ت / ت / 8,1 / أ,صفقة بتمويل
28478558,سكني,معرض,290000,58٫41,4964,20/03/2025,مكة المكرمة,جده,الرحاب,156/ ب,2,
28478548,أخرى,أخرى,2487912,592٫36,4200,20/03/2025,الرياض,الرياض,الرمال,3792,228,
28478519,تجاري,قطعة أرض,600000,634٫00,946,20/03/2025,الشرقية,الجبيل,العزيزية,7 / 199,238,
28478515,سكني,قطعة أرض,1179485,756٫08,1560,20/03/2025,الرياض,الرياض,النظيم,3968,832,
28478512,أخرى,أخرى,0,600٫00,0,20/03/2025,الرياض,الدوادمي,طيبة,988 / س,475,
28478511,أخرى,أخرى,0,704٫00,0,20/03/2025,الشرقية,الخبر,قرطبة,ش خ 529,133,هبة
28478508,أخرى,أخرى,1120000,500٫00,2240,20/03/2025,الشرقية,القطيف,الزهراء,3 / 376,1059 / 1,
28478498,تجاري,قطعة أرض,3200000,877٫00,3648,20/03/2025,الرياض,الرياض,الخير,3312/ ب,888,
28478495,أخرى,شقة,410000,125٫51,3266,20/03/2025,مكة المكرمة,جده,المنار,656 / ج / س,1 / 1,
28478490,أخرى,أخرى,100000,595٫47,167,20/03/2025,الجوف,سكاكا,الصالحية,13 / 1 / 2 / 1443,29,
28478487,أخرى,شقة,578000,117٫76,4908,20/03/2025,الرياض,الرياض,الرمال,3240 / أ,3 / 1,
28478464,أخرى,أخرى,1200000,437٫50,2742,20/03/2025,الرياض,الرياض,الخير,3312 / ب,2 / 3542,
28478457,أخرى,فيلا,1184000,229٫24,5164,20/03/2025,المدينة المنورة,المدينة المنورة,وادي مذينب,729 / ت / 1416,1,
28478456,أخرى,شقة,529000,110٫90,4770,20/03/2025,الرياض,الرياض,الرمال,3240 / أ,4 / 1,
28478435,أخرى,أخرى,5894275,620٫45,9500,20/03/2025,الرياض,الرياض,المحمدية,1324 / ب,249,
28478420,سكني,قطعة أرض,850000,625٫00,1360,20/03/2025,مكة المكرمة,جده,الرياض,184/ ج/ س,1558/ج,
28478407,أخرى,شقة,0,123٫99,0,20/03/2025,مكة المكرمة,مكة المكرمة,الحمراء,1/ 29/ 4,2/3,هبة
28478406,أخرى,شقة,73000,137٫50,530,20/03/2025,جيزان,جيزان,الشاطئ,6 د/ م ج,5,
28478405,تجاري,قطعة أرض,0,900٫00,0,20/03/2025,الشرقية,حفر الباطن,الشفاء,12/ ح,358,هبة
28478402,أخرى,شقة,450000,135٫63,3317,20/03/2025,مكة المكرمة,جده,الفيحاء,480 / ج / س / المعدل,3 / 3,
28478394,أخرى,أخرى,0,592٫00,0,20/03/2025,الرياض,عفيف,حى الورود,1003 / س / المعدل,262,
28478378,تجاري,قطعة أرض,0,886٫93,0,20/03/2025,الشرقية,حفر الباطن,قرطبة,85/ ح,988,هبة
28478377,أخرى,أخرى,870000,450٫00,1933,20/03/2025,الرياض,الرياض,ضاحية نمار,3020,7967 / 1,
28478372,أخرى,أخرى,0,704٫00,0,20/03/2025,الشرقية,الخبر,قرطبة,ش خ 529,132,هبة
28478362,أخرى,أخرى,908330,735٫00,1235,20/03/2025,الرياض,عفيف,قرية الروضة,875,210,رهن
28478359,أخرى,أخرى,10000,400٫00,25,20/03/2025,مكة المكرمة,تربه,النسيم,4 / ت / ق,779,
28478357,أخرى,أخرى,550000,89٫46,6147,20/03/2025,الشرقية,الدمام,العمامرة,بدون,103 / 1,
28478354,أخرى,أخرى,100000,600٫27,166,20/03/2025,الجوف,سكاكا,الصالحية,13 / 1 / 2 / 1443,75,
28478348,سكني,شقة,550000,137٫10,4011,20/03/2025,الشرقية,الخبر,بدون,251 / 2,4 / 4,
28478336,أخرى,أخرى,0,500٫00,0,20/03/2025,الرياض,الرياض,النسيم الغربي,1270 / ج,1006,هبة
28478324,أخرى,شقة,1000000,158٫87,6294,20/03/2025,مكة المكرمة,جده,السلامة,3 / 63 / ع,2 / أ,
28478322,أخرى,أخرى,0,375٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,3020 / د,2932 / 2,هبة
28478321,سكني,قطعة أرض,40000,1080٫00,37,20/03/2025,الشرقية,النعيريه,بدون,ش ن / 133 / معدل 1,342 / ج,
28478320,سكني,شقة,694000,186٫82,3714,20/03/2025,تبوك,تبوك,البوادى,545/ 38/ ت,1/أ,صفقة بتمويل
28478318,أخرى,أخرى,462103,600٫00,0,20/03/2025,مكة المكرمة,مكة المكرمة,طوى,1 / 28 / 15,2375,رهن/ مشترك أو مشاع
28478313,أخرى,فيلا,0,382٫20,0,20/03/2025,الرياض,الرياض,العزيزية,2740 / أ,3025,فرز/دمج
28478289,سكني,شقة,525000,134٫88,3892,20/03/2025,مكة المكرمة,جده,السلامة,32 / ب,2 / 2,
28478272,أخرى,أخرى,1180000,437٫50,2697,20/03/2025,الرياض,الرياض,الخير,3312 / ب,1 / 3542,
28478271,أخرى,أخرى,0,816٫65,0,20/03/2025,جيزان,ضمد,خبت الفلق,بدون,370,هبة
28478270,أخرى,أخرى,0,1500٫00,0,20/03/2025,الرياض,الرياض,السويدي,1017,عدد العقارات 3-136-135-144,هبة
28478260,أخرى,أخرى,120000,300٫00,400,20/03/2025,القصيم,بريده,اللسيب,ق / ب / 5651,290 / 7,
28478240,أخرى,شقة,345000,110٫35,3126,20/03/2025,مكة المكرمة,جده,القرينية,101 / ب / 1400,1 / أ,
28478234,أخرى,أخرى,100000,633٫17,157,20/03/2025,الجوف,سكاكا,الصالحية,13 / 1 / 2 / 1443,77,
28478229,سكني,بيت,600000,139٫73,4293,20/03/2025,الرياض,الرياض,الجرادية,بدون,بدون,
28478226,أخرى,أخرى,0,375٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,3020 / د,2932 / 1,هبة
28478208,أخرى,أخرى,0,3923٫10,0,20/03/2025,الشرقية,الاحساء,غير المخطط,بدون,بدون,هبة
28478206,أخرى,أخرى,1170000,325٫00,3600,20/03/2025,الرياض,الرياض,المعيزيلة,3722,35,
28478196,تجاري,قطعة أرض,8250000,750٫00,11000,20/03/2025,الرياض,الدرعيه,السلمانية,14/ م,67,
28478194,أخرى,أخرى,0,450٫00,0,20/03/2025,مكة المكرمة,الطائف,ضاحية الإسكان,23192102 / س / المعدل,2592,
28478192,أخرى,وحدة عقارية,1600000,201٫21,7951,20/03/2025,الرياض,الرياض,الريان,1519 / أ,1 / أ,
28478191,أخرى,شقة,850000,158٫87,5350,20/03/2025,مكة المكرمة,جده,السلامة,3 / 63 / ع,3 / أ,
28478190,أخرى,أخرى,900000,500٫00,1800,20/03/2025,الشرقية,الدمام,الجلوية,1 / 18,35 / أ,
28478188,أخرى,أخرى,100000,600٫00,166,20/03/2025,الجوف,سكاكا,الصالحية,13 / 1 / 2 / 1443,79,
28478180,أخرى,شقة,810000,133٫07,6087,20/03/2025,الشرقية,الخبر,الحزام الذهبي,81 / 2,3 / 6,
28478174,أخرى,أخرى,3876000,10200٫00,380,20/03/2025,الرياض,حريملاء,دقله,275,209,
28478173,أخرى,أخرى,0,704٫00,0,20/03/2025,الشرقية,الخبر,قرطبة,ش خ 529,131,هبة
28478161,أخرى,أخرى,1000000,600٫00,1666,20/03/2025,حايل,حائل,أركان,2020 / س,746,صفقة بتمويل
28478153,سكني,قطعة أرض,100000,550٫00,181,20/03/2025,الرياض,الخرج,الروضة,418,68,
28478141,أخرى,أخرى,31500000,900٫00,35000,20/03/2025,الرياض,الرياض,الملقا,3069,عدد العقارات 2-916-915,
28478140,أخرى,أخرى,600000,394٫00,1522,20/03/2025,مكة المكرمة,مكة المكرمة,البيعة,1 / 20 / 60,1506,
28478138,أخرى,شقة,574000,140٫93,4072,20/03/2025,مكة المكرمة,مكة المكرمة,بطحاء قريش,1 / 7 / 79,2 / 2,صفقة بتمويل
28478135,أخرى,أخرى,500000,684٫63,730,20/03/2025,مكة المكرمة,مكة المكرمة,ولى العهد 7,1 / 7 / 117,1966,
28478134,أخرى,أخرى,0,640٫41,0,20/03/2025,تبوك,تبوك,الراية,ت / ت / 493,24,هبة
28478129,أخرى,أخرى,500000,899٫99,555,20/03/2025,مكة المكرمة,جده,المسرة,663 / ج / س,107,
28478127,أخرى,أخرى,0,581000٫00,0,20/03/2025,حايل,بقعاء,بدون,3721,108,هبة
28478123,أخرى,شقة,650000,180٫07,3609,20/03/2025,تبوك,تبوك,الاخضر,585/ 38,2/1,صفقة بتمويل
28478118,أخرى,أخرى,100000,600٫00,166,20/03/2025,الرياض,رماح,حى التعاون,71,213,
28478117,أخرى,أخرى,50000,750٫00,66,20/03/2025,مكة المكرمة,الطائف,الجودية,3146,18,
28478114,أخرى,أخرى,0,642٫42,0,20/03/2025,تبوك,تبوك,الراية,ت / ت / 493,25,هبة
28478102,أخرى,أخرى,0,990٫00,0,20/03/2025,الجوف,القريات,بدون,11 / 8 / 2 / 1421,266 / د,هبة
28478093,أخرى,أخرى,103250,250٫00,413,20/03/2025,القصيم,بريده,اللسيب,ق / ب / 5651,48 / 5,
28478083,أخرى,أخرى,0,500٫00,0,20/03/2025,الشرقية,الاحساء,الراشدية الأول,4 / 126,464 / ج,هبة
28478082,أخرى,شقة,683280,166٫22,4110,20/03/2025,الشرقية,الخبر,جنوب خط الانابيب,ش خ 647,2 / 3,
28478077,أخرى,أخرى,1159616,490٫78,2362,20/03/2025,الشرقية,الاحساء,الصيهد بالرقيقة,4 / 251,بدون,
28478075,سكني,وحدة سكنية,0,303٫17,0,20/03/2025,نجران,نجران,العريسه,16 / ن / 1415,1 / 1,هبة
28478073,أخرى,أخرى,0,1164٫44,0,20/03/2025,المدينة المنورة,المدينة المنورة,حى العزيزية,8 / ت / 1413,166,هبة
28478071,أخرى,أخرى,1850000,325٫58,5682,20/03/2025,الشرقية,الخبر,بدون,بدون الارشادى بالثقبة,5,
28478068,أخرى,أخرى,100000,600٫00,166,20/03/2025,الجوف,سكاكا,الصالحية,13 / 1 / 2 / 1443,21,
28478067,أخرى,أخرى,5400000,1021٫00,5288,20/03/2025,مكة المكرمة,جده,الفيصلية,3 / 450 / 1 / ع,337,
28478066,أخرى,أخرى,0,704٫00,0,20/03/2025,الشرقية,الخبر,قرطبة,ش خ 529,130,هبة
28478065,سكني,قطعة أرض,410000,617٫00,664,20/03/2025,عسير,ابها,سلطانه,474 / 1409هـ / ج / 1,16,
28478048,أخرى,شقة,500000,137٫02,3649,20/03/2025,مكة المكرمة,جده,الصفا,3 / 465 / ع,1 / 2,
28478045,سكني,وحدة سكنية,76950,158٫71,484,20/03/2025,الشرقية,الدمام,النور,1258/ ش د,7,
28478040,أخرى,أخرى,400000,10000٫00,40,20/03/2025,حايل,حائل,40كم شمال حائل,120,21,
28478039,أخرى,أخرى,0,2000000٫00,0,20/03/2025,تبوك,تبوك,بين 30 كم و45 كم شمال شرق تبوك,5135,9,
28478035,أخرى,أخرى,80000,660٫00,121,20/03/2025,مكة المكرمة,خليص,الزهور,خ / 4 / 25,45,
28478026,سكني,فيلا,1000000,322٫08,3104,20/03/2025,مكة المكرمة,جده,الروابى,14/ 101/ ب/ المعدل,9,
28478019,أخرى,أخرى,1000000,308٫00,3246,20/03/2025,مكة المكرمة,جده,القرينية,101 / ب / 1400,97 / 2 / 2 / ج,
